pudl filename,file_set.id,pudl.id,scanned_resource.id,canvas.id
c/connolly/00000001.tif,184db4ee-6f14-4fad-8e53-495df369a5eb,C0108_c3243,001b27cc-7d4a-44d1-9129-c2d3dd9b178a,https://figgy.princeton.edu/concern/scanned_resources/001b27cc-7d4a-44d1-9129-c2d3dd9b178a/manifest/canvas/184db4ee-6f14-4fad-8e53-495df369a5eb
c/connolly/00000002.tif,3f817354-53e3-4cd7-9ab3-edb09cc18140,C0108_c3243,001b27cc-7d4a-44d1-9129-c2d3dd9b178a,https://figgy.princeton.edu/concern/scanned_resources/001b27cc-7d4a-44d1-9129-c2d3dd9b178a/manifest/canvas/3f817354-53e3-4cd7-9ab3-edb09cc18140
p/porcher/00000001.tif,3e7d5692-ec25-40e5-9ca7-2c9fce9defff,C0108_c3537,01b2b291-19e0-4230-8ef0-d588c2608c2c,https://figgy.princeton.edu/concern/scanned_resources/01b2b291-19e0-4230-8ef0-d588c2608c2c/manifest/canvas/3e7d5692-ec25-40e5-9ca7-2c9fce9defff
p/porcher/00000002.tif,2d5e0258-1129-4866-a714-ff2bf7d4abc8,C0108_c3537,01b2b291-19e0-4230-8ef0-d588c2608c2c,https://figgy.princeton.edu/concern/scanned_resources/01b2b291-19e0-4230-8ef0-d588c2608c2c/manifest/canvas/2d5e0258-1129-4866-a714-ff2bf7d4abc8
g/gosse/00000001.tif,1f3a0e44-d2c7-4739-ba6c-ec510e44687f,C0108_c3350,01f2fbfc-845f-4e39-a309-68fa0d514be2,https://figgy.princeton.edu/concern/scanned_resources/01f2fbfc-845f-4e39-a309-68fa0d514be2/manifest/canvas/1f3a0e44-d2c7-4739-ba6c-ec510e44687f
g/gosse/00000002.tif,0140024a-669d-4d36-a9ab-71a292a0abd6,C0108_c3350,01f2fbfc-845f-4e39-a309-68fa0d514be2,https://figgy.princeton.edu/concern/scanned_resources/01f2fbfc-845f-4e39-a309-68fa0d514be2/manifest/canvas/0140024a-669d-4d36-a9ab-71a292a0abd6
p/puy_fontaine/00000001.tif,e831f44b-a578-4c9b-9cbf-e99ae16e0fca,C0108_c3558,01f73c7c-08c2-4a5a-9ff6-7948c4365616,https://figgy.princeton.edu/concern/scanned_resources/01f73c7c-08c2-4a5a-9ff6-7948c4365616/manifest/canvas/e831f44b-a578-4c9b-9cbf-e99ae16e0fca
p/puy_fontaine/00000002.tif,9daa69a5-81f9-4910-b48a-f85191be69a4,C0108_c3558,01f73c7c-08c2-4a5a-9ff6-7948c4365616,https://figgy.princeton.edu/concern/scanned_resources/01f73c7c-08c2-4a5a-9ff6-7948c4365616/manifest/canvas/9daa69a5-81f9-4910-b48a-f85191be69a4
t/trevelyan/00000001.tif,e55dea9d-3b54-461a-ada7-f88af58e4d0e,C0108_c3693,029b1d10-e2db-4aa7-971e-4c15694d6785,https://figgy.princeton.edu/concern/scanned_resources/029b1d10-e2db-4aa7-971e-4c15694d6785/manifest/canvas/e55dea9d-3b54-461a-ada7-f88af58e4d0e
t/trevelyan/00000002.tif,19252c77-b890-4fe8-96d9-81a37fedd3dd,C0108_c3693,029b1d10-e2db-4aa7-971e-4c15694d6785,https://figgy.princeton.edu/concern/scanned_resources/029b1d10-e2db-4aa7-971e-4c15694d6785/manifest/canvas/19252c77-b890-4fe8-96d9-81a37fedd3dd
