uri,new_uri,status,in_version,removed_version
https://shakespeareandco.princeton.edu/members/bourret-5/,https://shakespeareandco.princeton.edu/members/bourret-jeanne/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/bourret-2/,https://shakespeareandco.princeton.edu/members/bourret/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/bouvret-mlle/,https://shakespeareandco.princeton.edu/members/bouvret/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/bowret/,https://shakespeareandco.princeton.edu/members/bouvret/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/boyden-2/,https://shakespeareandco.princeton.edu/members/boyden/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/breevster/,,deleted,1.0,1.1
https://shakespeareandco.princeton.edu/members/briggs-4/,https://shakespeareandco.princeton.edu/members/briggs-2/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/brinneton/,https://shakespeareandco.princeton.edu/members/bruneton-2/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/bromfield/,https://shakespeareandco.princeton.edu/members/bromfield-louis/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/broure/,https://shakespeareandco.princeton.edu/members/brouse/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/bourse/,https://shakespeareandco.princeton.edu/members/brouse/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/brown-14/,https://shakespeareandco.princeton.edu/members/brown-o/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/browse/,https://shakespeareandco.princeton.edu/members/brouse/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/brudgman/,,deleted,1.0,1.1
https://shakespeareandco.princeton.edu/members/bruel/,https://shakespeareandco.princeton.edu/members/brull/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/brunelion/,https://shakespeareandco.princeton.edu/members/bruneton-marie/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/bruning-mr-h/,https://shakespeareandco.princeton.edu/members/bruning-h/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/bruus/,https://shakespeareandco.princeton.edu/members/bruno/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/buckland-wright-3/,https://shakespeareandco.princeton.edu/members/buckland-wright-mrs/,renamed,1.0,1.1
https://shakespeareandco.princeton.edu/members/bugges/,https://shakespeareandco.princeton.edu/members/briggs-g-m/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/burl/,https://shakespeareandco.princeton.edu/members/burt-maud/,merged,1.0,1.1
https://shakespeareandco.princeton.edu/members/burning/,https://shakespeareandco.princeton.edu/members/bruning-h/,renamed,1.0,1.1
