uri,new_uri,status,in_version,removed_version
uri,new_uri,status,in_version,removed_version
uri,new_uri,status,in_version,removed_version
https://shakespeareandco.princeton.edu/books/thomson-seasons-summer/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/woodcock-gipsies/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/wilde-picture-dorian-grey/,https://shakespeareandco.princeton.edu/books/wilde-picture-dorian-gray/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/schelling-book-elizabethan-lyrics/,https://shakespeareandco.princeton.edu/books/elizabethan-lyrics/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/seiss-golden-altar-forms/,https://shakespeareandco.princeton.edu/books/sutherland-golden-altar/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/johnston-witch/,https://shakespeareandco.princeton.edu/books/chekhov-witch/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/jameson-imprudence/,https://shakespeareandco.princeton.edu/books/young-imprudence/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/tolzien-rathenau/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/lewisohn-defeated/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/parrish-morrow-morning/,https://shakespeareandco.princeton.edu/books/parrish-to-morrow-morning/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/freeman-joseph-brethren/,https://shakespeareandco.princeton.edu/books/mann-joseph-brethren/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/crane-pocahontas/,https://shakespeareandco.princeton.edu/books/garnett-pocahontas-nonparell-virginia/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/putnam-european-caravan/,https://shakespeareandco.princeton.edu/books/putnam-european-caravan-critical/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/van-doren-london-omnibus/,https://shakespeareandco.princeton.edu/books/london-omnibus/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/graham-crimson-hairs-erotic/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/roberts-penguin-parade/,https://shakespeareandco.princeton.edu/books/penguin-parade/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/beddoes-beddoess-poems/,https://shakespeareandco.princeton.edu/books/beddoes-poems/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/crashaw/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/essays-e-20/,https://shakespeareandco.princeton.edu/books/hearn-essays-european-oriental/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/bunyan-grace-abounding-chief/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/crofts-inspector-french-book/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/unclear-2/,https://shakespeareandco.princeton.edu/books/milne-may/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/unclear/,https://shakespeareandco.princeton.edu/books/guedalla-gallery/,merged,1.2,2.0
https://shakespeareandco.princeton.edu/books/lost-carrick/,https://shakespeareandco.princeton.edu/books/ogrady-lost-corrig-twixt/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/mutiny/,https://shakespeareandco.princeton.edu/books/wintringham-mutiny/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/new-testament/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/one-set-works/,https://shakespeareandco.princeton.edu/books/james-one-set-works/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/sile-unclear-unclear/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/spiritualism/,https://shakespeareandco.princeton.edu/books/mccabe-spiritualism/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/unclear-allier/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/unclear-dog/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/unclear-unclear/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/unclear-idylls/,https://shakespeareandco.princeton.edu/books/indian-idylls/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/unclear-20/,https://shakespeareandco.princeton.edu/books/unclear-walpole/,merged,1.2,2.0
https://shakespeareandco.princeton.edu/books/unclear-4/,,deleted,1.2,2.0
https://shakespeareandco.princeton.edu/books/wa-unclear/,https://shakespeareandco.princeton.edu/books/sykes-wassmuss-german-lawrence/,renamed,1.2,2.0
https://shakespeareandco.princeton.edu/books/w-unclear/,,deleted,1.2,2.0
